iter	Passed	Remaining
760	15653	4916
761	15677	4896
762	15698	4876
763	15714	4854
764	15736	4833
765	15755	4813
766	15777	4792
767	15798	4772
768	15820	4752
769	15840	4731
770	15864	4712
771	15886	4691
772	15906	4671
773	15925	4650
774	15948	4630
775	15971	4610
776	15994	4590
777	16013	4569
778	16035	4549
779	16055	4528
780	16077	4508
781	16097	4487
782	16118	4467
783	16137	4446
784	16159	4425
785	16180	4405
786	16201	4385
787	16220	4363
788	16239	4342
789	16257	4321
790	16279	4301
791	16302	4281
792	16323	4261
793	16345	4240
794	16365	4220
795	16387	4199
796	16409	4179
797	16430	4158
798	16450	4138
799	16470	4117
800	16491	4097
801	16513	4076
802	16532	4055
803	16551	4035
804	16578	4016
805	16600	3995
806	16622	3975
807	16644	3955
808	16663	3934
809	16685	3913
810	16710	3894
811	16732	3873
812	16755	3853
813	16778	3833
814	16799	3813
815	16821	3793
816	16845	3773
817	16867	3753
818	16890	3732
819	16910	3712
820	16933	3691
821	16959	3672
822	16979	3651
823	16999	3631
824	17023	3611
825	17053	3592
826	17073	3571
827	17094	3551
828	17117	3530
829	17141	3510
830	17164	3490
831	17184	3470
832	17204	3449
833	17222	3428
834	17245	3407
835	17269	3387
836	17291	3367
837	17310	3346
838	17331	3325
839	17352	3305
840	17372	3284
841	17392	3263
842	17411	3242
843	17429	3221
844	17449	3200
845	17471	3180
846	17491	3159
847	17513	3139
848	17531	3118
849	17554	3097
850	17587	3079
851	17605	3058
852	17627	3037
853	17647	3017
854	17674	2997
855	17695	2976
856	17720	2956
857	17742	2936
858	17763	2915
859	17783	2894
860	17804	2874
861	17825	2853
862	17844	2832
863	17864	2812
864	17888	2791
865	17908	2771
866	17927	2750
867	17947	2729
868	17969	2708
869	17988	2687
870	18008	2667
871	18029	2646
872	18050	2625
873	18070	2605
874	18090	2584
875	18111	2563
876	18132	2543
877	18152	2522
878	18174	2501
879	18194	2481
880	18216	2460
881	18238	2440
882	18257	2419
883	18277	2398
884	18300	2378
885	18321	2357
886	18342	2336
887	18366	2316
888	18389	2296
889	18413	2275
890	18435	2255
891	18457	2234
892	18475	2213
893	18495	2193
894	18515	2172
895	18536	2151
896	18555	2130
897	18577	2110
898	18599	2089
899	18621	2069
900	18643	2048
901	18663	2027
902	18684	2007
903	18704	1986
904	18724	1965
905	18749	1945
906	18770	1924
907	18791	1903
908	18809	1883
909	18828	1862
910	18848	1841
911	18869	1820
912	18888	1799
913	18908	1779
914	18929	1758
915	18950	1737
916	18973	1717
917	18996	1696
918	19014	1675
919	19033	1655
920	19054	1634
921	19073	1613
922	19094	1592
923	19114	1572
924	19136	1551
925	19158	1531
926	19179	1510
927	19199	1489
928	19220	1468
929	19242	1448
930	19263	1427
931	19282	1406
932	19306	1386
933	19327	1365
934	19349	1345
935	19373	1324
936	19396	1304
937	19415	1283
938	19434	1262
939	19455	1241
940	19475	1221
941	19499	1200
942	19519	1179
943	19539	1159
944	19559	1138
945	19582	1117
946	19603	1097
947	19623	1076
948	19643	1055
949	19664	1034
950	19686	1014
951	19705	993
952	19728	972
953	19750	952
954	19772	931
955	19794	911
956	19814	890
957	19834	869
958	19855	848
959	19875	828
960	19895	807
961	19915	786
962	19937	766
963	19959	745
964	19978	724
965	20006	704
966	20030	683
967	20051	662
968	20069	642
969	20088	621
970	20110	600
971	20132	579
972	20148	559
973	20170	538
974	20190	517
975	20207	496
976	20226	476
977	20246	455
978	20270	434
979	20291	414
980	20311	393
981	20331	372
982	20348	351
983	20370	331
984	20389	310
985	20408	289
986	20430	269
987	20449	248
988	20470	227
989	20492	206
990	20516	186
991	20540	165
992	20562	144
993	20583	124
994	20614	103
995	20640	82
996	20663	62
997	20690	41
998	20711	20
999	20734	0
